_______June_2022_____________T-AIRS(^S^o^N^C) Anomaly vs 2007-2016              
   i   j     lon     lat    array(i,j)
  67   4  -47.00  -83.00        2.7173
  68   4  -45.00  -83.00        2.7173
  69   4  -43.00  -83.00        2.7173
  70   4  -41.00  -83.00        2.7173
  71   4  -39.00  -83.00        2.7173
  72   4  -37.00  -83.00        2.7173
  73   4  -35.00  -83.00        2.7173
  74   4  -33.00  -83.00        2.7173
  75   4  -31.00  -83.00        2.7173
  76   4  -29.00  -83.00        2.7173
  77   4  -27.00  -83.00        2.7173
  78   4  -25.00  -83.00        2.7173
  79   4  -23.00  -83.00        2.7173
  80   4  -21.00  -83.00        2.7173
  81   4  -19.00  -83.00        2.7173
  82   4  -17.00  -83.00        2.7173
  83   4  -15.00  -83.00        2.7173
  84   4  -13.00  -83.00        2.7173
  85   4  -11.00  -83.00        2.7173
  86   4   -9.00  -83.00        2.7173
  87   4   -7.00  -83.00        2.7173
  88   4   -5.00  -83.00        2.7173
  89   4   -3.00  -83.00        2.7173
  90   4   -1.00  -83.00        2.7173
  91   4    1.00  -83.00        2.7173
  92   4    3.00  -83.00        2.7173
  93   4    5.00  -83.00        2.7173
  94   4    7.00  -83.00        2.7173
  95   4    9.00  -83.00        2.7173
  96   4   11.00  -83.00        2.7173
  97   4   13.00  -83.00        2.7173
  98   4   15.00  -83.00        2.7173
  99   4   17.00  -83.00        2.7173
 100   4   19.00  -83.00        2.7173
 101   4   21.00  -83.00        2.7173
 102   4   23.00  -83.00        2.7173
 103   4   25.00  -83.00        2.7173
 104   4   27.00  -83.00        2.7173
 105   4   29.00  -83.00        2.7173
 106   4   31.00  -83.00        2.7173
 107   4   33.00  -83.00        2.7173
 108   4   35.00  -83.00        2.7173
 109   4   37.00  -83.00        2.7173
 110   4   39.00  -83.00        2.7173
 111   4   41.00  -83.00        2.7173
 112   4   43.00  -83.00        2.7173
 113   4   45.00  -83.00        2.7173
 114   4   47.00  -83.00        2.7173
 115   4   49.00  -83.00        2.7173
 116   4   51.00  -83.00        2.7173
 117   4   53.00  -83.00        2.7173
 118   4   55.00  -83.00        2.7173
 119   4   57.00  -83.00        2.7173
 120   4   59.00  -83.00        2.7173
 121   4   61.00  -83.00        2.7173
 122   4   63.00  -83.00        2.7173
 123   4   65.00  -83.00        2.7173
 124   4   67.00  -83.00        2.7173
 125   4   69.00  -83.00        2.7173
 126   4   71.00  -83.00        2.7173
 127   4   73.00  -83.00        2.7173
 128   4   75.00  -83.00        2.7173
 129   4   77.00  -83.00        2.7173
 130   4   79.00  -83.00        2.7173
 131   4   81.00  -83.00        2.7173
 132   4   83.00  -83.00        2.7173
 133   4   85.00  -83.00        2.7173
 134   4   87.00  -83.00        2.7173
 135   4   89.00  -83.00        2.7173
 136   4   91.00  -83.00        2.7173
 137   4   93.00  -83.00        2.7173
 138   4   95.00  -83.00        2.7173
 139   4   97.00  -83.00        2.7173
 140   4   99.00  -83.00        2.7173
 141   4  101.00  -83.00        2.7173
 142   4  103.00  -83.00        2.7173
 143   4  105.00  -83.00        2.7173
 144   4  107.00  -83.00        2.7173
 145   4  109.00  -83.00        2.7173
 146   4  111.00  -83.00        2.7173
 147   4  113.00  -83.00        2.7173
 148   4  115.00  -83.00        2.7173
 149   4  117.00  -83.00        2.7173
 150   4  119.00  -83.00        2.7173
 151   4  121.00  -83.00        2.7173
 152   4  123.00  -83.00        2.7173
 153   4  125.00  -83.00        2.7173
 154   4  127.00  -83.00        2.7173
 155   4  129.00  -83.00        2.7173
 156   4  131.00  -83.00        2.7173
 157   4  133.00  -83.00        2.7173
 158   4  135.00  -83.00        2.7173
 159   4  137.00  -83.00        2.7173
 160   4  139.00  -83.00        2.7173
 161   4  141.00  -83.00        2.7173
 162   4  143.00  -83.00        2.7173
